texto,label
camba cojudo,1
cojudo,1
choto,1
cuca,1
forro,1
chocha,1
ocote,1
ojete,1
ortiva,1
pelotudo,1
pete,1
pijotero,1
pingo,1
tragasable,1
chupapija,1
indio,1
lary,1
chota,1
birlocha,1
chola,1
imilla,1
llokalla,1
guarayo,1
cunumi,1
kara,1
maricon,1
trolo,1
lechuguin,1
travesti,1
hijo de puta,1
malparido,1
hijo de la gran flauta,1
bastardo,1
pollerudo,1
de mierda,1
prostituta,1
ramera,1
carnicero,1
camionero,1
eres un payaso,1
petizo,1
caradeconcha,1
mongolico,1
baboso,1
imbecil,1
estupido,1
eres un burro,1
eres un asno,1
eres un buey,1
eres un nabo,1
trancado,1
luser,1
looser,1
que porqueria,1
pucha,1
poto,1
bostero,1
mamapene,1
quemero,1
tatengue,1
tripero,1
pincharrata,1
leproso de mierda,1
canalla,1
colla e mierda,1
agacharsele el pico,1
tragapene,1
la penca del burro,1
remojar el cochayuyo,1
agueonao,1
ridiculo,1
conchetumadre,1
cochesumadre,1
conchesumare,1
reconchetumadre,1
recochesumadre,1
reconchesumare,1
hueon,1
mamon,1
ahuevonado,1
ahueonao,1
aweonao,1
huevada,1
hueveo,1
culeado,1
culeao,1
culiao,1
choro,1
hijo de la perra,1
chupame la raja,1
traga sable,1
maraco,1
olluo,1
culia,1
coÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½o de,1
cacorra,1
ahuevado,1
ano,1
arrecha,1
arrecho,1
bochinche,1
idiota,1
boletoso,1
naco,1
cachon,1
cacorro,1
caido del zarzo,1
care chimba,1
care monda,1
caremonda,1
careverga,1
chimbo,1
chocho,1
chuchesumadre,1
chunchurria,1
chupelo,1
coma mierda,1
cule,1
culear,1
culiar,1
delputas,1
doble hijueputa,1
doblehijueputa,1
fariseo,1
follar,1
garbimba,1
gonorrea,1
gorrero,1
gran doble hijueputa,1
grantriplehijueputa,1
guiso,1
gurrupleta,1
gurrupleto,1
hijueputa,1
perra,1
huevon,1
huevona,1
huevonada,1
jartera,1
jueputa,1
lameculo,1
soplapollas,1
lamparoso,1
lichigo,1
puta,1
malparida,1
mamelo,1
mamera,1
marica,1
masturbacion,1
masturbarse,1
renegra,1
masista,1
pendejo,1
pichurria,1
pinche,1
piroba,1
pirobo,1
pordiosero,1
pullon,1
sos una sapa,1
sos un sapo,1
sapo hijueputa,1
su madre,1
tontarron,1
triplehijueputa,1
zunga,1
monda,1
cara de pepa,1
care pepa,1
chupeme la picha,1
traga huevos,1
playo,1
me cago en su madre,1
mico,1
nica,1
analfabeto,1
ignorante,1
pedofilo,1
asqueroso,1
mama picha,1
care gorro,1
chupe verga,1
aguevado,1
aguevao,1
panocha,1
carebarro,1
puchica,1
carepija,1
careculo,1
culantro,1
canazo,1
guevazo,1
vale picha,1
cagona,1
cuite,1
blandito,1
bofe,1
bollo,1
cabron,1
cabeciduro,1
cherna,1
churre,1
chusma,1
comemierda,1
eres una cucaracha,1
descarao,1
tarada,1
tarado,1
calamitosa,1
calamitoso,1
burda,1
mandao,1
morronga,1
jodido,1
pajuso,1
maldito,1
pinga,1
sanaco,1
mugroso,1
tortillera,1
verraco,1
la mas puta,1
picador,1
tirador,1
mecaniquito,1
inflador,1
mentiroso de mierda,1
mentirosa de mierda,1
adulador,1
arrechera,1
buena mierda,1
chinga su madre,1
conazo,1
traga semen,1
hijo de la gran puta,1
lambon,1
maldita rata,1
mama culo,1
mama huevo,1
carechimba,1
chuta,1
gaver,1
concha de tu madre,1
