texto,label
La pancarpia es el fruto maduro de una planta.,0
"Por favor, siga las instrucciones cuidadosamente.",0
La mula cargaba pesados sacos por el sendero.,0
El médico atendió a todos los pacientes con amabilidad.,0
El discurso tuvo un tono exhortatorio que animó al público.,0
El sobrante de comida fue donado a un albergue.,0
La venenadora preparó una pócima peligrosa.,0
El guisote se sirvió caliente en la mesa.,0
Su ocupación actual es ingeniero de software.,0
La sordina redujo el sonido del instrumento.,0
La albura del árbol es clara y brillante.,0
El cofrade asistió a la procesión religiosa.,0
Pedimos ayuda para completar el proyecto.,0
Gandir era un personaje místico en la leyenda.,0
La estrella guía era la cinosura de los viajeros.,0
"El cazador, conocido como hunter, siguió la pista.",0
¡Qué díaaa tan largo y agotador!,0
El frondio cubría el bosque con su sombra espesa.,0
Vamos a recontar las boletas antes de anunciar al ganador.,0
La xenofobia es un problema social muy grave.,0
Con cachaza respondió a la provocación sin alterarse.,0
Su actitud reflejaba una gran hipocresía.,0
La desdicha acompañó su vida durante años.,0
El artista quiso daguerrotipar la escena urbana.,0
La niña tenía una expresión asombradiza al ver los fuegos artificiales.,0
El azanoriate fue mencionado en las antiguas crónicas.,0
No tuvo más opción que apelar a la justicia.,0
Era insolvente y no pudo pagar sus deudas.,0
La isla era un territorio insular y remoto.,0
El entrenador fue un gran fortalecedor del equipo.,0
El feudatario juró lealtad a su señor.,0
La infantería avanzó firmemente hacia el frente.,0
El banco le cobró un interés por sobregiro.,0
Isabelrguez fue la fundadora del pequeño pueblo.,0
La luna hizo rielar las aguas del lago.,0
"Regalame un poco de tu tiempo, por favor.",0
Tuvieron que desenterrar los viejos secretos familiares.,0
Menar las campanas era su tarea diaria.,0
Es importante recalcar las normas de convivencia.,0
"La palabra correcta era ""palacra"", un término antiguo.",0
La encartación del acusado fue revocada.,0
La rijadora discutía acaloradamente en la reunión.,0
El alzador levantó con facilidad el paquete pesado.,0
Su conocimiento extenso impresionó a todos en el evento.,0
Un comentario malhumorado arruinó la conversación.,0
"Respede las decisiones de los demás, aunque no las comparta.",0
El sensor detectó movimiento en la entrada.,0
El comercio local ha prosperado en los últimos años.,0
El colmillo del lobo brillaba bajo la luna.,0
El disparatador no paraba de decir locuras.,0
Nuche fue el nombre que eligió para su personaje.,0
Decidió numular su colección de monedas antiguas.,0
La arrojadora lanzó la jabalina a gran distancia.,0
El guardavía vigilaba el paso del tren.,0
Usó una estructura predicativa en su discurso.,0
La verdiseca se extendía por el campo abandonado.,0
La olivicultura es una actividad agrícola muy antigua.,0
Finalmente salieron a caminar tras la lluvia.,0
El queltehue cantaba en la orilla del río.,0
Era famosa por su actitud pamplinosa en clase.,0
La enseñanza instructiva capturó la atención de los estudiantes.,0
Construyó una cubilla de barro en el patio.,0
